2024-04-23 13:59:18 status unpacked libext2fs2t64:arm64 1.47.0-2.4~exp1ubuntu4
2024-04-23 13:59:18 install libgcc-s1:arm64 <none> 14-20240412-0ubuntu1
2024-04-23 13:59:18 status half-installed libgcc-s1:arm64 14-20240412-0ubuntu1
2024-04-23 13:59:18 status unpacked libgcc-s1:arm64 14-20240412-0ubuntu1
2024-04-23 13:59:18 install libgcrypt20:arm64 <none> 1.10.3-2build1
2024-04-23 13:59:18 status half-installed libgcrypt20:arm64 1.10.3-2build1
2024-04-23 13:59:18 status unpacked libgcrypt20:arm64 1.10.3-2build1
2024-04-23 13:59:18 install libgmp10:arm64 <none> 2:6.3.0+dfsg-2ubuntu6
2024-04-23 13:59:18 status half-installed libgmp10:arm64 2:6.3.0+dfsg-2ubuntu6
2024-04-23 13:59:18 status unpacked libgmp10:arm64 2:6.3.0+dfsg-2ubuntu6
2024-04-23 13:59:18 install libgpg-error0:arm64 <none> 1.47-3build2
2024-04-23 13:59:18 status half-installed libgpg-error0:arm64 1.47-3build2
2024-04-23 13:59:18 status unpacked libgpg-error0:arm64 1.47-3build2
2024-04-23 13:59:18 install liblz4-1:arm64 <none> 1.9.4-1build1
2024-04-23 13:59:18 status half-installed liblz4-1:arm64 1.9.4-1build1
2024-04-23 13:59:18 status unpacked liblz4-1:arm64 1.9.4-1build1
2024-04-23 13:59:18 install liblzma5:arm64 <none> 5.6.1+really5.4.5-1
2024-04-23 13:59:18 status half-installed liblzma5:arm64 5.6.1+really5.4.5-1
2024-04-23 13:59:18 status unpacked liblzma5:arm64 5.6.1+really5.4.5-1
2024-04-23 13:59:18 install libmd0:arm64 <none> 1.1.0-2build1
2024-04-23 13:59:18 status half-installed libmd0:arm64 1.1.0-2build1
2024-04-23 13:59:18 status unpacked libmd0:arm64 1.1.0-2build1
2024-04-23 13:59:18 install libmount1:arm64 <none> 2.39.3-9ubuntu6
2024-04-23 13:59:18 status half-installed libmount1:arm64 2.39.3-9ubuntu6
2024-04-23 13:59:18 status unpacked libmount1:arm64 2.39.3-9ubuntu6
2024-04-23 13:59:18 install libncursesw6:arm64 <none> 6.4+20240113-1ubuntu2
2024-04-23 13:59:18 status half-installed libncursesw6:arm64 6.4+20240113-1ubuntu2
2024-04-23 13:59:18 status unpacked libncursesw6:arm64 6.4+20240113-1ubuntu2
2024-04-23 13:59:18 install libpam-modules:arm64 <none> 1.5.3-5ubuntu5
2024-04-23 13:59:18 status half-installed libpam-modules:arm64 1.5.3-5ubuntu5
2024-04-23 13:59:18 status unpacked libpam-modules:arm64 1.5.3-5ubuntu5
2024-04-23 13:59:18 install libpam-modules-bin:arm64 <none> 1.5.3-5ubuntu5
2024-04-23 13:59:18 status half-installed libpam-modules-bin:arm64 1.5.3-5ubuntu5
2024-04-23 13:59:18 status unpacked libpam-modules-bin:arm64 1.5.3-5ubuntu5
2024-04-23 13:59:18 install libpam-runtime:all <none> 1.5.3-5ubuntu5
2024-04-23 13:59:18 status half-installed libpam-runtime:all 1.5.3-5ubuntu5
2024-04-23 13:59:18 status unpacked libpam-runtime:all 1.5.3-5ubuntu5
2024-04-23 13:59:18 install libpam0g:arm64 <none> 1.5.3-5ubuntu5
2024-04-23 13:59:18 status half-installed libpam0g:arm64 1.5.3-5ubuntu5
2024-04-23 13:59:18 status unpacked libpam0g:arm64 1.5.3-5ubuntu5
2024-04-23 13:59:18 install libpcre2-8-0:arm64 <none> 10.42-4ubuntu2
2024-04-23 13:59:18 status half-installed libpcre2-8-0:arm64 10.42-4ubuntu2
2024-04-23 13:59:18 status unpacked libpcre2-8-0:arm64 10.42-4ubuntu2
2024-04-23 13:59:18 install libproc2-0:arm64 <none> 2:4.0.4-4ubuntu3
2024-04-23 13:59:18 status half-installed libproc2-0:arm64 2:4.0.4-4ubuntu3
2024-04-23 13:59:18 status unpacked libproc2-0:arm64 2:4.0.4-4ubuntu3
2024-04-23 13:59:18 install libselinux1:arm64 <none> 3.5-2ubuntu2
2024-04-23 13:59:18 status half-installed libselinux1:arm64 3.5-2ubuntu2
2024-04-23 13:59:18 status unpacked libselinux1:arm64 3.5-2ubuntu2
2024-04-23 13:59:18 install libsemanage-common:all <none> 3.5-1build5
2024-04-23 13:59:18 status half-installed libsemanage-common:all 3.5-1build5
